20
1000 2000
383 886 7
915 793 -35
386 492 -21
421 362 -43
690 59 -7
926 540 -44
172 736 -59
368 567 -41
782 530 -8
123 67 -35
929 802 -48
58 69 -3
393 456 -59
42 229 3
421 919 14
537 198 -46
315 370 -57
526 91 10
956 873 -8
170 996 11
305 925 14
327 336 -65
846 729 -57
857 124 25
582 545 -56
367 434 -6
43 750 17
808 276 8
788 584 -67
651 754 29
932 60 6
368 739 -58
226 586 24
539 795 0
434 378 -3
601 97 -68
317 492 -18
756 301 10
286 441 -5
689 444 -51
440 729 -39
117 97 1
481 675 -61
927 567 -14
497 353 16
965 306 13
219 624 -42
871 732 -41
503 19 0
368 708 -55
340 149 26
723 618 -25
846 451 -49
555 379 18
764 228 -29
350 193 -70
34 764 -46
914 987 -14
743 491 -43
365 859 -34
432 551 -33
228 275 -63
474 121 -12
395 29 -33
235 793 -52
428 143 -59
928 529 6
404 443 -7
613 538 -64
840 904 -52
128 688 -1
996 324 -27
470 183 20
499 772 -45
644 590 -65
139 954 16
669 82 -28
464 197 -63
355 804 -22
611 622 -42
299 343 -24
568 340 -48
311 810 -65
801 661 -40
878 305 -50
736 444 -44
522 465 -62
416 282 -12
924 637 -8
624 600 -34
452 899 9
550 468 1
973 131 11
930 933 24
660 163 29
981 899 26
959 773 -57
668 190 25
926 466 14
340 90 14
376 542 -34
107 445 -14
179 418 17
412 348 2
659 9 -34
210 342 17
206 301 -57
372 321 -15
819 599 -49
904 939 -59
940 667 -65
228 127 -20
984 658 -50
224 422 -1
396 81 -40
84 292 2
672 850 -45
385 222 29
640 42 28
713 298 20
524 590 -61
581 819 -34
732 155 24
4 379 -1
273 776 -20
255 860 -28
579 884 23
205 621 -3
504 613 -9
754 326 -11
944 202 -68
506 784 -49
842 868 -42
189 872 -62
958 498 -34
808 753 -22
303 333 -37
648 890 -16
567 746 -2
529 500 -24
788 797 -21
990 303 -37
363 497 -17
892 686 -45
152 996 5
188 157 -41
436 460 -56
921 460 -66
28 27 -20
748 556 -68
794 697 29
43 39 -68
428 403 -70
681 647 -32
159 151 -35
134 339 22
215 127 -66
629 49 -6
285 429 -27
335 177 -70
238 971 -21
289 367 18
292 795 -27
144 829 20
682 340 -29
569 826 -38
261 42 -10
117 23 -9
81 309 20
425 996 -3
677 234 20
626 524 -13
614 168 -65
358 312 16
100 346 -44
994 916 -18
578 529 -24
290 647 0
51 80 -39
593 857 -43
312 886 -56
355 512 20
412 479 -60
969 189 4
355 641 -50
433 987 18
338 566 0
284 856 -53
606 260 -21
237 205 -11
217 518 -25
783 873 -12
873 637 19
483 607 8
757 314 1
729 100 -11
618 438 -45
388 74 -37
157 681 23
358 270 29
417 839 -1
363 622 24
173 847 -39
462 682 20
292 791 -13
115 521 -13
574 491 -23
951 231 -49
537 740 -16
30 98 -45
81 516 -54
2 231 -31
796 404 -32
580 218 -49
970 862 -58
379 977 15
536 904 6
483 207 -11
857 744 29
911 127 -20
236 560 -52
105 563 -21
244 711 -65
934 291 5
955 614 19
768 993 -52
805 882 -48
982 717 -40
93 574 -44
593 486 -17
543 74 -56
713 179 7
762 775 18
919 710 -38
294 17 -24
235 137 21
153 943 3
328 925 21
710 18 -53
836 963 -15
90 858 -40
904 571 -9
633 685 19
73 604 -19
805 250 -2
503 485 -64
195 639 -21
120 967 -44
763 677 26
981 865 -10
36 955 0
518 211 -28
532 196 9
321 270 14
172 427 -36
40 283 2
398 830 -7
347 950 -40
573 714 -11
522 47 -46
82 435 -38
204 954 -27
898 486 -30
278 159 -8
262 683 -29
848 723 -46
272 122 -16
335 821 -13
365 747 1
776 269 -52
701 703 -17
933 907 -11
728 806 27
720 84 -62
334 698 21
376 898 -55
52 171 19
559 506 -60
16 224 -61
539 0 8
109 53 11
114 338 19
426 67 -23
223 787 -39
532 122 11
875 850 9
590 254 -20
131 813 -13
494 181 11
603 720 -37
982 181 17
415 296 -45
404 722 22
551 297 -38
134 181 -64
415 57 -62
595 999 -8
297 483 6
154 977 -61
587 932 12
21 266 -7
860 682 -59
685 86 15
930 990 13
314 476 -54
820 892 -45
528 839 -45
490 136 -10
618 643 -33
928 582 -49
310 955 18
225 815 0
437 853 -62
722 783 -20
657 97 -43
126 269 1
651 149 -60
528 639 28
888 610 23
577 890 6
199 552 -39
87 777 29
657 566 -18
17 641 -35
368 298 14
195 776 -65
266 428 -16
528 308 23
278 197 -15
672 774 -25
0 325 27
283 412 -43
382 421 23
334 439 -36
421 159 15
957 354 -9
762 972 -29
716 852 -20
662 482 29
217 154 3
15 506 -19
364 790 -7
491 172 -33
537 859 -42
871 280 17
856 590 -29
970 352 -5
511 69 -53
361 83 -19
112 300 -64
638 667 -6
489 32 -16
104 875 9
141 412 -32
969 636 0
956 844 -10
649 814 -5
314 326 16
183 39 -1
535 152 -49
393 790 19
109 631 3
264 735 -22
295 877 -57
833 198 -21
355 155 23
468 156 -10
933 823 16
171 358 7
140 245 11
761 990 -47
50 100 -16
75 364 -28
624 659 -51
289 844 -1
238 551 6
383 19 -37
343 304 -14
981 475 -4
11 967 -58
192 729 -68
868 131 -68
174 207 -52
216 183 7
487 472 3
957 62 -45
933 797 26
418 141 -17
726 474 10
393 485 -22
305 30 -41
559 898 -10
562 424 -51
280 641 -68
10 480 -44
583 789 -30
708 723 -32
557 493 -39
710 220 -65
690 613 21
638 270 -49
667 829 1
180 743 25
899 24 18
154 386 -1
232 969 -60
373 30 -37
663 587 9
94 649 29
351 339 -6
742 330 16
515 349 -55
186 881 -59
634 133 17
722 287 3
643 519 -28
354 244 -46
139 259 -7
418 353 -58
269 705 -66
733 799 -36
819 315 -35
87 853 -1
450 487 -68
837 562 19
610 205 -10
704 911 -13
829 403 -54
892 821 -48
605 443 9
361 528 8
447 700 -25
882 787 29
551 589 16
353 426 -22
794 36 -64
107 92 -53
664 921 -50
480 166 24
354 123 -33
933 484 -53
312 931 -53
709 165 -14
608 69 -25
995 422 1
295 569 -11
801 676 -18
571 340 -45
743 172 21
89 527 -4
878 812 -20
196 124 -37
213 186 29
370 794 -2
115 141 -28
639 437 -7
198 590 -31
202 513 -39
128 257 -66
571 346 13
138 225 25
540 421 2
226 634 -12
725 356 -18
645 472 -24
339 111 13
603 661 -45
542 216 -31
174 344 26
330 267 24
13 757 -51
860 650 22
832 876 9
990 953 -35
295 598 -63
741 937 0
976 540 14
801 83 -70
492 609 26
440 939 -7
735 304 3
606 164 -47
251 349 -19
530 339 -66
165 986 -68
625 79 21
547 407 14
131 561 -51
931 53 -42
427 494 -51
543 581 -47
768 187 -31
643 438 18
394 320 10
98 486 -52
752 463 28
695 10 -65
179 142 -4
98 425 2
978 853 -4
797 748 -23
272 516 16
912 159 7
900 553 27
932 3 -35
951 107 28
49 154 -9
906 334 -67
325 784 -42
797 763 -37
115 560 11
14 185 27
100 97 -62
329 349 -57
879 634 -54
914 585 5
765 986 -40
626 892 -54
629 569 -18
409 366 -55
395 833 -42
776 847 -57
26 300 -8
786 629 -7
100 508 27
416 775 12
544 540 -50
826 518 -5
794 499 -36
546 908 -17
62 303 16
842 432 -36
807 810 -36
869 596 -55
984 696 -46
382 465 -19
716 361 -27
37 187 -9
602 981 -10
88 879 -50
941 293 -46
628 135 -62
162 942 0
996 163 -4
811 500 -55
487 234 -38
290 950 23
633 339 10
494 293 -57
854 382 -26
475 323 -32
751 951 3
811 465 -2
681 813 13
499 977 -35
14 464 -1
346 107 2
391 740 -59
623 587 -13
